~	-ish
🏋️	lift
🪶~	light
🔅🔆	light/bright
💙	like
👤🫦	lip
🔊👂	listen
🤏	little/small
🕊️⟿	live
📍	location/place
🔒	lock
🤣	lol/laugh
🐍~	long
👀	look/see
|⟷|	loose/wide
🚫🎓📍	lose
⤺🚫🎓📍	lost
𐄡	lot/many
📢	loud
❤️	love
⌊	low
🍀	luck
🍀~	lucky
🕛🍽️	lunch
⚙️	machine
⤺🔨⟿	made
⇥⇤📕	magazine
✉️	mail/message
1️⃣の	main/first
🔨⟿	make
♂	male
◓🧑	manager
𐄡	many
🗺️	map
3🌙	March
💍↹💍	marriage
⚭	married
💍⟿	marry
🧪	material/substance
5🌙	May
🎲	may/maybe
🎲	maybe
👇	me/I
🍽️	meal
👺~	mean
🥩	meat
⚕️	medicine
⏀	medium/center
🤝	meet
🤝	meeting/meet
🫠	melt
✉️	message
⤺🤝	met
🪙🧪	metal
⏀	middle/center
⤺🎲	might
🎖️	military
🥛	milk
🧠	mind
👇の	mine/my
🤏🕑	minute
💔	miss
⤭	mix
👩‍🍼	mom/mother
1☀️	Monday
💵	money
🗓️	month
🌙	moon
⇈	more
🌅	morning
>½	most
⤒	most
👩‍🍼	mother
👄	mouth
🚛	move
🎞️	movie
⇈	much/more
↦💀	murder/kill
🎶	music
❗	must
👇の	my
👇🤳	myself
📛	name
🤏🛌	nap
⇥⇤	narrow
[🏔🍃]	nature
⚓️🎖️	navy
🏕️⛺	near
👤◡◔	neck
	neck
❤️‍🔥↤	need
🪡➖🧵	needle
⏭️🏠🧑	neighbor
🌐	network
🚫⏰	never
✨	new
⏭️	next
😇	nice
🌃	night
👎	no/bad
🚫👤	nobody
🕛	noon
⥣🧭	north
🚫	not
🚫⟢	not yet
📝	note
🚫⬚	nothing
🗣️🔔	notify
[⬚]	noun
🏝	noun
11🌙	November
👉⏰	now
🚫📍	nowhere
☢️~	nuclear
#	number
🌊📍	ocean
10🌙	October
	of
↥	off
⬚↹？	offer
🛠️📍	office
😲	oh
🛢	oil
🆗	OK
🆗	okay/OK
🧓~	old
🤯	omg
⊻	on
1⏰	once
🌐の	online
⢀	only
📕📖	open
↔️	or
🍊	orange
🟧	orange
⊶	other/different
👇👇の	our
👇👇🤳	ourself
📤	out
⧂	outside
◓	over
💁♾️	own
📄	page/paper
🤕💥	pain
🎨🖌️	paint
👖	pants
📄	paper
🧑‍🍼	parent
🏞	park
◔	part
🎉	party
💯	pass
⛗	pass
|👣|	path
🤒🧑	patient
▥	pattern
↦💵	pay
☮️	peace
☮️~	peaceful
👥	people
🎭⟿	perform
👤	person
[🐈🐕]	pet
📱	phone
📷🖼	photograph
⌥	pick/choose
🖼	picture
◔	piece/part
📍	place
🗺	plan
✈️	plane/airplane
🪴	plant
♳🧪	plastic
🍽−🍴	plate
[🤾]	play
🤾🧑	player
🙇🙏	please
➕	plus/add
🧥🕳️	pocket
☠️🧪	poison
👮	police
🏛️💬の	political
🏛️🧑	politician
🏛️💬	politics
⛲🔲	pool
🚫💵	poor
🐖🥩	pork
🫗	pour
⚡	power
🛐⟿	pray
🐿️⟿	prepare
🎁	present/gift
◠🏛️🧑	president
🪞🤩	pretty/beautiful
⇈	pretty/more
⏮️	previous
💵↕	price
🛐🧑	priest
🔒⛓️📍	prison
🔮🤷	probably
🧩	problem
🔨⟿	produce/make
💻🧮	program
💻🧮🧑	programmer
🍻📍	pub/bar
⛓️	pull
🟪	purple
👐	push
📦⬇️	put
👸	queen
🤫~	quiet
⇈	quite/more
[🏇🏎]	race
👤🎨	race
📻	radio
🌧️	rain
🌧️~	rainy
🏋️	raise/lift
🎲🔀	random
🛬	reach/arrive
📖👀	read
🐿️~	ready
◌○	real
⇈	really/more
∵💬	reason
📥	receive
🏕️⛺⏰	recent
🟥	red
🔗~	related
🔗	relation/link
🛐	religion
💭🎓	remember
🚮	remove
📤↩	reply
📰✍️🧑	reporter
👥💬	reputation
⛑️	rescue/save
🤏🛌	rest/nap
𐄛・	rest/other
🥡📍	restaurant
↩	return
🍚	rice
💵🤑	rich
↱	right
✅	right/correct
🌅	rise/morning
|💧|	river
|🛞|	road
🏠◠	roof
🏠◱	room
🪴◡	root
🏃	run
😢	sad
🦺	safe
⤺🗣	said
⚖️	same
🏜️🧪	sand
⤺🗣🎶	sang
⤺🪑	sat
6☀️	Saturday
💾	save/keep
⛑️	save/rescue
⤺👀	saw
🗣	say
🗣	says/say
🎓🏫	school
⚗️	science
▦	screen
🌊📍	sea
🔍	search/find
🌷🍁⏰	season
🤐	secret
👀	see
🪴🥚	seed
🪞	seem
🤳	self
⬚↹💵	sell
📤⟿	send
🧠⟿	sense
⤺📤⟿	sent
9🌙	September
⌥	set/choose
🝆	several
🛌🎆	sex
⧛⧚	shake
	shall
⌊💧	shallow
⎄	shape
👩👈	she
👕	shirt
⤺⧛⧚	shook
🔫⟿	shoot
🛒	shop
⌊	short/low
🤏	short/small
⤺🔫⟿	shot
❗	should/must
💪◠🔗	shoulder
💁👀	show
🤒	sick
⟥	side
[🛑]	sign
📄_✍️	sign
🪨🎨🪙🧪	silver
↫⏰	since
🗣🎶	sing
🔗👧	sister
🪑⟿	sit
🌐📍	site
📶↕	size
👤∯	skin
👗◡	skirt
🟦☁️	sky
🛌😴	sleep
😴	sleepy
⤺🛌😴	slept
🐌~	slow
🤏	small
🎓~	smart
👃⟿	smell
😊⟿	smile
🤏🍽️	snack
❄️	snow
⇥	so
⇈	so/more
🪶🖐	soft
	soil
⤺⬚↹💵	sold
🎖️🧑	soldier
∃	some
∃☀️	someday
∃👤	someone
∃⬚	something
∃⏰	sometime
∃📍	somewhere
👦	son/boy
🎶	song
🤏⏰	soon
🙇	sorry
🔊	sound
💧🍲	soup
⥥🧭	south
🌌	space
⭐️	special
💸	spend
⤺💸	spent
[⚽]	sport
🌷⏰	spring
◻	square
🍲🔄👖🎨	stain
	stain
🧍⟿	stand
1️⃣の	start/first
📍♾️	stay
🦝	steal
⎈	steer
〰️	still/continue
⤺🦝	stole
🪨	stone/rock
⤺🧍	stood
⏹️	stop
🏬	store
⛈️	storm
🚫⌒	straight
👾	strange/weird
|🛞|	street/road
💪~	strong
🎓🧑	student
🔬🧐	study
⬚⬚	stuff/things
↦	submit/give
🧪	substance
◻️🍯	sugar
↦💬	suggest
🕴️👖	suit
☀️⏰	summer
7☀️	Sunday
☀️~	sunny
🦸	super
🛠️🧑‍🤝‍🧑	support/help
❗	supposed/must
👍	sure/good
∯	surface
⤺🏊‍♀️	swam
🤬	swear
💦	sweat
🍯~	sweet
🏊‍♀️	swim
⤺🤬	swore
┳┳	table
↤	take/get
🗣💬	talk
⤺🗣💬	talked
⌈	tall/high
👅⟿	taste
🫖	tea
🧑‍🏫⟿	teach
🧑‍🏫	teacher
⟨👥⟩	team
😢💧	tear
[💻]	technology
🗣	tell/say
🌡️↕	temperature
📄☐☑	test
⌨️	text/type
﹥	than
🙏	thank/thanks
🙏	thanks
:	that
👈	that
	the
🎭📍	theater
👤の	their
👥の	their
👤👈	them
👥👈	them
👥👈🤳	themself
⇒	then
📍👈	there
👉👉	these
👥	they/people
👤	they/person
|⟷|	thick/wide
⇥⇤	thin/narrow
⬚	thing/it
⬚⬚	things
💭	think
👉	this
👈👈	those
⤺💭	thought
⤺⚾⟿	threw
⤃	through
⚾⟿	throw
⛈️	thunderstorm/storm
4☀️	Thursday
⇥⇤	tight/narrow
↬⏰	till/until
⏰	time
🛞	tire/wheel
😴	tired/sleepy
↬	to
♾️	to (infinitive)
👉☀️	today
🦶◔	toe
🧑‍🤝‍🧑	together/with
⤺🗣	told/said
⏭️☀️	tomorrow
👉🌃	tonight
⌼	too
⤺↤	took/got
[🔧]	tool
◠	top
🖐⟿	touch
🤏🏙️	town
⬚↹⬚	trade/transaction
|🐾|	trail
🚞	train
⬚↹⬚	transaction
[🚌🚗]	transportation
🌳	tree
⤺🎰	tried
🚚	truck
⊨	true
🎰	try
2☀️	Tuesday
➿	turn
⌨️⟿	type
🪞🤢	ugly
◒	under
💭💡	understand
⤺💭💡	understood
∃1の	unique/only
🎓📍	university
🔓	unlock
↬⏰	until
⬆️	up
👇👇	us/we
🖐⬚⟿	use
⧲🏔	valley
[⟿]	verb
⇈	very/more
🧑↤💀	victim
←🧑	visitor
🗣👂	voice
